Name,Pincode
CHANDUR,508255
CHANETI,243004
CHARALI,
CHARBATIA,
CHARODIYA,365560
CHAVAJ,392001
CHAWAPALL,
CHEKATE G PALEM,
CHHACHHAR,362710
CHHATRAL,
CHHOTA GUDHA,303602
CHICHOLI P H,441102
CHICHPALLI,442404
CHICKASHELIKERI,
CHIKNA,847402
CHILKA,752034
CHIMALPAHAD,502287
CHINCHVAD,
CHINNADAGUDIHDI,
CHINNEKUNTAPALI,
CHIRAI BG,804406
CHIRGAON,284301
CHITALDA,394440
CHITROD,370145
CHITTAURGARH,
CHOLAPURAM,612503
CHULI,363310
CHURULIA,713368
CONTAI ROAD,721401
COOCH BEHAR,
CORAMANDAL,563120
D SAGAR WTR FLS,
D SAMUDHRAVALLI,573225
DABIRPURA,
DAGRU,142048
DAKACHA,453771
DALBHUMGARH,832302
DALSINGH SARAI,848114
DALTONGANJ,822101
DAMCHERA,799256
DAMLAI,393110
DARBARI,486881
DARIYAGANJ,110002
DARSHANNAGAR,224123
DARWHA M BGH JN,
DARYABAD,225403
DARYAPUR,444803
DASALWADA A RD,387365
DASARA,231211
DAULA KOT BHAI,152101
DAULATPUR CHAUK,
DAUN KALAN,147021
DEFENCE OS QT,
DEHU ROAD,
DELHI,
DELHI KISHANGNJ,
DEOBAND,247554
DEOGHAR,
DEOKALI,
DEONAGAR,440015
DESAR ROAD,391774
DEVARAPALLI,534313
DEVPURA,231210
DEVSANA,
DEWA,225301
DEWANGANJ,- 735122
DHACA RETURN,
DHAKA,
DHAMPUR,
DHANA LADANPUR,
DHANALA,
DHANAWALA WADA,
DHANI KASAR,
DHANOLI P H,
DHANORI,
DHANPURA,
DHANSAR,
DHARAMPUR,
DHARMKUNDI,
DHARMPUR HMCHL,
DHAT,
DHAULPUR,
DHENGLI PP GOAN,
DHRUMATH,
DIHAKHO,
DINDU G PURAM H,
DIVITI PALLI,
DONTA,
DORNAHALLI,
DUKHNAWARAN,
DUMIYANI,
DURGACHAK,
DURGAUTI,
EDAVAI,
EKDIL,
ELURU,
FARENI,
FARIDABAD,
FARIDABAD NW TN,
FARIDAHA,
FARIDNAGAR,
FARTIKUI,
FEROK,
FEROZESHAH,
G POCHAMPALLI,
GADHADA SWAMI,
GALSI,
GALUDIH,
GAMBHIRPURA,
GANDHIPURAM HAL,
GANDHISMARAK RD,
GANGANI,
GANGATOLIA,
GARHA GOODS SHE,
GARHI HARSARU,
GARHMUKTESAR,245205
GARKHA,841311
GAROT,458880
GARRA P H,
GATE VANAMPALLI,
GAVADAKA,365610
GAWNAHA,845102
GAZIKA,
GEVARAI HALT,
GHANSORE,480997
GHASHYAMGADH RD,
GHASPURA,
GHATLA,
GHAUNSPUR,
GHELDA,382145
GHOKSADANGA,736165
GHOTI,: 422402
GILL,
GODHANESHWAR,
GOGAMUKH,
GOJAPUR SANKDHA,
GOLANA HALT,
GOLAPATTI,732101
GOLSAR,
GOP MOTA,360515
GOPALPUR,
GORA GHUMA,
GORATIYA,393110
GORINTADA,534275
GOVINDGARH KHKR,
GOVINDI MARWAR,
GUJJANGIVALASA,535217
GUMADA,535521
GUMMANDEV,393110
GUNTAKAL JN,
GURHI,854330
GURSAR SHNEWALA,
GURUJALA,509352
GURUSAR SUTLANI,
GWALIOR,
GWALIOR,
HABANGHATA,
HADALA KHARI,
HADIAYA,272002
HALLIGUDI,582115
HAMILTONGANJ,735214
HAMPAPURA,562109
HANSIAWAS,331023
HANUMAN STATION,302034
HARIPAL,
HARIPUR,
HARISHPUR,
HATHIGADH,365535
HATIA,834003
HATIBARI,
HATKANAGALE,
HINAUTARAMBAN,
HINDOL ROAD,759019
HIRAKUD,768016
HIRDAMALI,441801
HIRISAVE,573124
HIRNODA,303338
HITNAL,ZIP Code is 583234
HOLAMBI KALAN,110082
HOTGI,
HUBBALLI JN,580003
HUPPUGUDA,500053
ICHHAPUR,
IDAR,383430
INDORE JN BG,
IPPAGUDA,
IRANAGALLU,
IRGAON,
IRUGUR,
JADABPUR,700032
JAGADHRI WSHOP,135002
JAIJON DOABA,144530
JAITHARI,484330
JAITPUR KALAN,283111
JAITPURA,303704
JAKHAL JN,
JAKPUR,
JALIYA,365440
JAMA,814110
JAMGA,496107
JAMSHER KHAS,
JAMUAWAN,804404
JAMUNI,
JANDOKE,152026
JANDWALA KHARTA,152123
JANKAMPET JN,503186
JANKIDAIPUR,
JARAUNA,222165
JARIAGARH,488220
JASALI,
JATH ROAD,416404
JATUSANA,123401
JAULKHERA,460661
JAUNPUR JN,222001
JAYNGR MAJLIPUR,
JETHUKE,151103
JHALIDA,723201
JHAMAT,
JHAPATER DHAL,
JHAR,
JHARILI,
JHAROKHAS,484334
JHILAHI,271302
JHULASAN,382705
JHUNPA,127046
JIBANTI,742187
JIMIDIPETA,765002
JIRADEI,841245
JIRANIA,799035
JIRON,284403
JITE,402107
JLALPR PANWARA,
JMTRA PARASWARA,
JOGINDER NAGAR,175015
JOLARPETTAI,
JORANDA ROAD,759014
JUCHANDRA,401208
KACHHIA BRIDGE,
KACHNA,493663
KACHNARA ROAD,
KACHUJOR,731104
KADALUNDI,
KADAMPURA,
KAGANKARAI,
KAIPADA ROAD,
KAKARGHATTI,847115
KALAPIPAL,465337
KALASAMUDRAM,515501
KALASAR,
KALI SINDH,465220
KALKUND,461331
KALUPARA GHAT,752022
KAMAKHYAGURI,736202
KAMALNAGAR,585417
KAMASAMUDRAM,563129
KAMBRGANVI,
KAMEPALLI,507122
KAMLAPUR,585313
KAMTAUL,847304
KANAMALO PALLE,524230
KANASAR,334001
KANCHIPURAM,631502
KANDIVLI,400101
KANGINHAL,582102
KANJIKODE,
KANPUR CENTRAL,208004
KANTAKAPALLE,535240
KANTENAHALLI,571232
KANTH,244501
KAPADVANJ,387620
KARAIKKUDI JN,630001
KARAIKKURICHI,612904
KARAMBELI,396105
KARAMTOLA,
KARANAHALLI,562109
KARANWAS,123401
KARASANGAL,602301
KARAUNDHANA,
KARCHHUE,
KARCHIYA,
KARISATH,802157
KARIYAPATTINAM,614806
KARMALIYAPURA,
KASBA,700042
KATARIYA,363421
KATHARA ROAD,: 813213
KATILI,261141
KATOL,441302
KAVAS,394510
KAVATHE MAHANKL,416405
KELZAR,442104
KERKHABARI,783382
KESARIYA ROAD,
KESHAVGANJ,307031
KESIMPA,384335
KEVDI ROAD,
KHADARPET,
KHAI PHEMEKI,152003
KHAIR RANJI,480994
KHAIRAHI,231216
KHAIRATIYA BH R,
KHAJJIDONI,587204
KHAJURI,221311
KHAKHI JALIYA,360470
KHAMGAON,
KHAMIL GHAT,
KHAN BHANKRI,303303
KHANALAMPURA WT,
KHANDIA,244921
KHAPTI,
KHARESHWAR ROAD,
KHARI AMRAPUR,
KHARKHAUDA,
KHAT LABANA,335038
KHERA KALAN,110082
KHERALU,384325
KHEROL,383215
KHINANIYAN,
KHOTKHOTI,782480
KHUBAGAON,
KHUI KHERA,152121
KHULNA,743446
KHUNVAD,
KHUTWANSA,
KIRIBURU,833222
KISHANGANJ,
KIUL JN,811311
KOKALDA,574198
KOKPARA,832302
KOLATUR,631207
KOLKATA,
KOLKATA,
KOMAKHAN,493449
KONDIKOPPA,582201
KOPAI,
KORADIH P H,441111
KORAVANGALA,573118
KOSGI,509339
KOTABOMMALI,532195
KOTAKADRA,509204
KOTDA BAVISHI,360530
KOTESHWAR,576222
KOTH GANGAD,382240
KOTLI KALAN,151509
KOZHIKKODE,
KRISHNA CH PURA,
KRISHNGR CTY JN,
KRISNAMSETIPALI,
KUDIKADU,612903
KUDSAD,394110
KUMARANALLUR,
KUMARAPURAM,
KUNDARA,
KUNEANGANJ,229301
KUNKAVAV JN,
KUNKAVAV TOWN,365450
KUNNATHUR,638103
KUP,148019
KURAWAN,224158
KURUMURTHI,509110
KURUPPAN TARA,
KUSLAMB,413207
KYATANEAKERI RD,586117
LACHHIPURA,722133
LAJPAT NAGAR,110024
LAKHERI,323615
LAKHMAPUR,423213
LAKHNAURIA,
LAKHPAT,370627
LAKKAVARAPUKOTA,535161
LALAWADI,460551
LALBAGH,800004
LALGARH JN,334001
LALIT GRAM,
LALPUR CHANDRA,834001
LANGAL,733132
LARABAD BH,
LAVANPUR,
LAWA SARDARGARH,313330
LELIGUMA,765015
LING,
LINGA,480001
LINGAMPALLI,
LODI COLONY,110003
LODIPUR BISHNPR,
LODNA,828131
LOHA,431708
LOHGARH ABUB,
LOHOGAD,410406
LOTHAL BHURKHL,
LOWJEE,
LUCKNOW ALAMBGH,: 226005
LUCKNOW NR,
LUCKNOW WEST (A,
LUNAVADA,389230
LUNSERIYA,363621
LUSADIYA,383251
LYALLPUR KC HLT,
MACHIYALA,365601
MACHROWAR,
MADARAHA,212301
MADDURU,534302
MADHAPUR ROAD,
MADPUR,721149
MAGNAD,
MAHABUBNAGAR TO,509001
MAHANADI,734223
MAHANANDA BGE,
MAHBUBNAGAR,
MAHE,
MAHESHI,852216
MAHIPAL,733121
MAHMUDPUR SRYN,
MAHRAULI,
MAHUDHA,387335
MAHUR,431721
MAHWA,321608
MAIJAPUR,271126
MAIKALGANJ,261505
MAIVADI ROAD,
MAKHI,209801
MALAVI,583212
MALEGAON P H,
MALHAR,495551
MALHOUR,: 226028
MALIYA,363670
MALLANKINAR,626109
MALLAPUR,
MALLARPUR,731216
MALLIYAM,609806
MALWAN,416606
MAMDAPUR HALT,
MANANPUR,811310
MANDA ROAD,212104
MANDAGERE,571423
MANDAPAM,
MANDAVAD,362130
MANDAWAR M RD,
MANDHAR,493111
MANGAPURAM,
MANGELA,482002
MANGROLLA,
MANIA,841245
MANIGACHI,847422
MANINAGAR,
MANISINGH K P,
MANJHLEPUR,
MANUGURU,507117
MANUR,627201
MARAMPALLI,
MARKAHANDI U HT,
MARMAGAO,
MARTUR,523301
MASKANWA,271305
MATERA,
MATHERAN,410102
MATHURAPUR,743395
MATODA,382213
MAURIGRAM,711302
MAVELIKARA,
MAVUR ROAD,673004
MAYAR,125044
MEHSI,845426
MEJA ROAD,212302
MEKRA MEMERKHAB,
MERPANAIKKADU,614624
MHASODA DONGAR,
MIDNAPORE,
MINAMBAKKAM,
MIRZAPUR,
MISAMARI,784506
MITHA,384410
MOHADI PRGN LNG,
MOHANPURA,302029
MOHAPANI MAL,
MOHARAJPUR,209402
MOHRI,134003
MORA,394510
MORAK,
MORAMPUDI,533107
MORAN,
MORENA,476001
MORINDA,140101
MOTHALA HALT,
MOTI KHAWDI,
MOTIJHEEL,
MOWAD,441303
MUHAMMADPUR,841437
MUIRPUR ROAD,
MUKHTIAR BALWAR,
MUKTAPURAM,515641
MUNDALARAM,
MUNDLANA,131306
MURHIPAR,
MURI,835101
MUSAHIBPUR,144211
MUVAL TANK,
MUZAFFARNAGAR,
N CHANGRABANDHA,
N J RAMANAL,
N S DOABA JN,141126
NADA,
NAGAL,247551
NAGAPPATTINAM,
NAGAR,
NAGAR UNTARI,822121
NAGARWARA,560045
NAHARGARH,458558
NALLACHERUVU,515551
NALLAPADU,522005
NANDAPUR,764037
NANDARKHA,396325
NANDGANJ,233302
NAR,
NARAYANAPURAM,534406
NARAYANPET ROAD,
NARAYANPUR,494661
NARESHWAR ROAD,
NARINDARPURA,533294
NARKETPALLI,508254
NARTHAMALAI,622101
NASKHAL,502102
NASWADI,391150
NATHPURA,
NAVALGAON,455339
NAVALUR,600130
NAWAGAON,
NAWAN,341509
NAYATOLA,
NEDI MOLLYANUR,
NEOLI,207402
NERALAKATTE,576283
NETRANG,
NEW GITLDADA JN,
NIDHANI,480997
NIJBARI,734434
NILAMBAZAR,788722
NIMPURA,
NITTUR,572126
NIYOL,394325
NIZBARGANJ,
NMG TAMDALGE,
NOH BACHHAMDI,321001
NOKHA,334803
NOKHRA,334303
NOYAL,639117
NSC BOSE J GOMO,700040
OD,
OIL DEPOT,246763
ONTIMITTA,516213
OSRA,453220
OTTAKKAL,691308
P AVATAPALLE,
P BRAHMADEVAM H,
PABBAPURAM HALT,
PACHAGAON,123106
PADLA,
PADSALI,413222
PADUA,764038
PADWANIYA,495117
PAGARA,473001
PAKARA ROAD,676307
PAKKAM,602024
PALA,
PALAKKANUTHU,624619
PALAM,
PALANA,387350
PALAVANTHANGAL,600114
PALAYANKOTTAI,627002
PALIYARD ROAD,
PALSI,431008
PALUVAYI,522421
PAMAN,209121
PANAGARH,
PANAPAKAM,517112
PANCHALAM,605651
PANDI,690517
PANDIKANMOI,
PANDILLAPALLI,507208
PANDIYAPURAM,627859
PANDU MAWAS,
PANHAI,
PANJGAM,
PANJUM O A,
PARADIP,
PARAMAKKUDI,
PARAS,
PARASHSHALA,
PARBATI,812002
PARHANA MAU,
PARIAWAN K.K.RD,
PARSA,841202
PARSA BAZAR,804453
PARSA NAGAR,841202
PATAPATNAM,
PATHARKHOLA S,263661
PATIALA CANT,
PATRANGA,225404
PAVAGARH,389360
PAVI,391160
PBNWA JASMHNDAR,
PDGM GANESHPURA,
PENCH,
PENNADAM,606105
PERAMBUR CRG WK,
PETRAPOL,743405
PHANDA,462030
PHARADAHAN,
PHILLAUR JN,
PHURSUNGI,412308
PILUDRA,383120
PIMPALGAON,422209
PINJRAPOL,
PIPALDA ROAD,325004
PIPARDI,360405
PIPLA P H,
PIPLI,136131
PIPLOD JN,
PIRDULESHA HALT,
PIRTHALA LLAUDA,
PIRUMADARA,244715
PMBAKVL SHANDY,
POCHARAM,
POHE,811315
PONMLAI GLD RCK,
PONNERI,601204
PORDA BHATERA,387365
POTHIA,733207
PRANTIJ,383205
PRATAP BAGH P H,
PRATAPNAGAR,390004
PRATTIAPADU,533432
PRITAM NAGAR,211011
PUDUCHATIRAM,637018
PULAKURTHI,
PUNPUN,804453
PUTTUR,
QUARRY SDG,
RADHAKUND,281504
RAHURI,413705
RAISERJAGIR,
RAJAHMUNDRY,
RAJBANDH,713212
RAJENDRANAGAR,
RAJGHAT,203393
RAJMANE,423205
RAJULI,
RAJUR,431206
RAKHI,
RAKHIYAL,380023
RAM NAGAR J K,182122
RAMACHANDRAPUR,
RAMAKONA,480106
RAMAPURAM,
RAMDAS,
RAMGANAGA SC,743371
RAMKISTOPORE,
RAMLING,412210
RAMPUR,244901
RAMRI,246127
RANDALA,384305
RANJANI,416411
RANKUA,396560
RAS,306101
RASANA,
RASULABAD,209306
RASULPUR,713151
RATANGAON,470442
RATANGARH WEST,305204
REDDIPALEM,522615
REHTA,
RHRA GHALUGHRA,
ROBERTSON,
ROSHAN MAU,is 209303
RUKHI,131301
RUPNAGAR,140001
RUPSA JN,
S BAKHTIYARPUR,803212
S HIRDARAMNAGAR,
S HIRDARAMNAGAR,
S VENKTESWRPALM,
SADHLI,391250
SADLA,382765
SAFIASARAI,
SAFILGUDA,
SAGARDIGHI,742226
SAHARSA KACHERI,852217
SAHARSRAKUND,
SAJIYAVADAR,365630
SAKALDIHA,232109
SAKRIGALI JN,
SALEM TOWN,
SALJADA,382260
SAMBALPUR ROAD,767001
SAMBHAL HTM SAR,
SAMUDRAGARH,713519
SAMUDRAM,636501
SANATHAL,382210
SANAURA,144201
SANDALPUR,800004
SANDASAL,391530
SANDILA,241204
SANGMESHWAR,415611
SANGWI,412213
SANJALI,394115
SANJUJE DA AREY,
SANKARALINGAPRM,626119
SANKARPUR,754028
SANKHAI,713130
SANKHALPUR,384210
SANOSARA NANDRA,
SANOSRA,364230
SANTA CRUZ,
SANVATSAR,423603
SAPDA,361110
SARADIYA,362620
SARDARGARH,313330
SARJU,829207
SARKARA,695304
SARKHEJ,382210
SASON,768200
SATISH SAMNT HT,
SAVLI,391770
SAVNI,
SAYAMA,388170
SECBAD JAMES ST,
SEDARAMPATTU,632315
SEHAL,176025
SEKHA,148024
SEONI,480661
SETHAL,243407
SETTIHALLY,577515
SGM JAGARLAMUDI,
SHADHORAGAON,
SHAHAMATGANJ,
SHAHERA,389210
SHAHGARH,470339
SHAHJAHANPUR,
SHAHJEHANPUR,
SHAHNAGAR TMNS,
SHAJAHANPURCORT,
SHALASHAH THANA,
SHAMGARH,458883
SHANKARGARH,212108
SHANKARPUR,852128
SHARMA,
SHDSPRA PADMPRA,
SHEDUBHAR,365430
SHEIKPURA,811105
SHERPUR,801503
SHIMOGA BIDARE,577222
SHIRRAVDE,
SHIRVA,574116
SHISHO,
SHIVAMOGGA H,
SHIVNAGAR,
SHIVRAJPUR,209205
SHOBHASAN,384315
SHORANUR JN,
SHRI BALAJI,341029
SHRI BHAVNATH,
SHRI RAMGARH,335504
SHRIVAGILU,
SIAJULI,784110
SIDDAPUR H,
SIDHIRSAI,
SIJUA,
SIKANDRA RAO,204215
SILIGURI,
SILLIPUR,476335
SIMODARA,394410
SINDPAN,458002
SINGAPERUMLKOIL,603209
SINGAPURAM ROAD,521340
SINGARENI COLRS,
SINGARPUR,811310
SINGUR,712409
SIPAYA,841505
SIRAS,
SIRD,
SIRHILTARA,493111
SIROHI ROAD,
SIRRAN,
SIRRI P H,
SIRSA,125055
SIRSI MUKHDUMPR,
SISIBARGAON,787110
SITALPUR,841221
SITANAGARAM,522501
SITAPUR,261001
SITAPURAM,534475
SITIMANI,587207
SIVAPUR,
SIVARAKOTTAI,625706
SOGRA,835223
SOHAL,143520
SOLADI,363310
SOLAPUR JN,
SOLAPUR JN,
SONI,416420
SONIK,209801
SORATH VANTHIL,
SRAVANUR,573211
SRIKONA,788026
SRINAGAR,
SRINAGAR,
SUDAMDIH,
SUDHRANA,123303
SUDIYUR,623608
SUHSARAI,
SUI,127031
SUISA,723212
SUKHCHAIN,
SUKHPAR ROHA,370030
SUKHPUR,852130
SUKINDA ROAD,755018
SULAH HMCHL PDH,
SULIKERI,
SUMMER HILL,171005
SUNAK,384110
SUNDARAPRMLKOIL,
SUNDARNA,
SUNDERABAD,
SUNERA PIRKHERI,
SUR KHAND KA KH,313903
SUR ROAD,
SURA NUSSI,144027
SURAPUR,228227
SURAT CITY CB,
SURBARI,
SURENDRANAGAR G,
SURER,
SURERA,332742
TAGDI,
TAIABPUR,
TAJPUR,
TAKAL,563137
TAKIPUR,841244
TAKU,461111
TALOD,383215
TALOJA PANCHAND,410208
TAMLUK,
TANGRA,700015
TAPA,148108
TARCHERRA BRLRM,
TAREGNA,804452
TARVA,276123
TELI,605302
TEMPA P H,
TEN TALAV,391105
THAIR,246113
THANE,
THIPPASANDRA,560075
THOKUR,574146
THUWAVI,391107
TIK,802155
TIKAMGARH,472001
TINSUKIA JN,786170
TINTODA,
TIPLING,
TIRALDIH,832403
TIRUCHANUR,
TIRUCHCHIRAPALI,
TIRUCHCHITRMBLM,614628
TIRUCHRPALI TWN,
TIRUCHRPLI PLKI,
TIRUMALPUR,631051
TIRUMLAI HLS OA,
TIRUNELVELI TWN,- 627006
TIRUPARANKNDRM,
TIRUPPUR,
TIRUSULAM,
TIRUVIDALMARUDR,612104
TIRVNLNLUR ROAD,
TITUR P H,
TIVARI,
TODARPUR,241406
TOKKOTTU,575020
TOPOKAL,
TORNA,387365
TRAISAMADH,
TROMBAY,- 400088
TUKAITHAD,450332
TULJAPUR,413601
TULSIGAM,388710
TURKAPALLI,508116
UDAIPURA,464770
UDASAR,334022
UGWE,
UMRALA,364330
UPARIYALA,382765
URKURA,493221
URMA,828204
USARGAON,285001
USMANPUR,110053
USRA,825101
UTARLAI,344001
UTRIPURA,
VADALA GRANTHIN,
VADALI,
VADARLAPADU,521333
VADNAGAR,384355
VADVIYALA,362560
VAHLYAL,382433
VAJDI ROAD,360035
VAJIRABAD,
VALIVEDU HALT,
VALLATTOLNAGAR,
VANGAL HALT,
VASADVA,363320
VASAN IYAWA,
VAVDI,
VEDARANNIYAM,614810
VEER,412312
VEGANPUR,388713
VEJPUR,388710
VELACHERI,600042
VELANANDAL,606808
VELAVADAR,364313
VELLARAKKAD,
VELLORE TOWN,
VELLPAPALYAM,
VEMAR,390022
VEMULURIPADU,522529
VENDRA,
VICTOR,365555
VIDYAVIHAR,400086
VIKARABAD JN,
VIKRAMNAGAR,
VINCHIYA,360055
VIRAMGAM JN,382150
VIRDEL ROAD,
VIRKUDI,610101
VIRSAD,388580
VIRUL,442302
VISHNUPURAM,
VISHRAMPURA,391450
VISHVAMITRI,
VISHVAMITRI,
VISHWANATH PURI,
VITHISVARANKOL,
VRIDDHACHALM TN,606001
VYANKATPURA,391510
VYASANAKERI,583222
WAGHANIYA,365456
WANDAL,586128
WANKANER CITY,363621
WARIA,713217
WARORA,442907
WASANAPURA,562162
YADAVALLI,523356
YATALURU,524132
YERRAGUNTLA,516309
YESHWANTNAGAR,583124
RANGAPAHAR,782480
HINDUMALKOTE,335901
PATAN,384265
